Year,Scenario,name,M,L,U
2028,Combine_Hi,AvtInc,0.009668891855362884,0.009064097727941893,0.010168157808189447
2028,Combine_Hi,AvtMor,0.003847155276562266,0.0036009214308119716,0.004397157223700628
2028,DxPPM_POC,AvtInc,0.003122430337113789,0.0023870715703267873,0.004428783497296372
2028,DxPPM_POC,AvtMor,0.00779790238111844,0.006398379092841454,0.009109451567333317
2028,DxPPM_POC_Hi,AvtInc,4.655697391692587e-5,-9.746750159638252e-5,2.0400735045619618e-4
2028,DxPPM_POC_Hi,AvtMor,0.0018766054154749341,0.0016370109081032757,0.00212495001238731
2028,DxPPM_TSwab,AvtInc,1.881389297867583e-4,2.9514231394374604e-5,3.6121616434024685e-4
2028,DxPPM_TSwab,AvtMor,0.0020801035937514306,0.0018256302424563523,0.0023817426965348494
2028,Dx_POC,AvtInc,0.0031176745659538072,0.002411734424476473,0.004251215365397586
2028,Dx_POC,AvtMor,0.006081752303644257,0.004868396587839507,0.007422004114656339
2028,Dx_POC_Hi,AvtInc,4.845144575059044e-4,3.7662094478939546e-4,6.749502404328864e-4
2028,Dx_POC_Hi,AvtMor,0.0010998759063792576,8.909264976971948e-4,0.0013145783534969568
2028,Dx_POC_Hi_ITT,AvtInc,0.02053597091751202,0.0158457045907278,0.027617196689485063
2028,Dx_POC_Hi_ITT,AvtMor,0.039055335673195975,0.031424737596669895,0.048142558636402724
2028,Dx_POC_ITT,AvtInc,0.022694386956509337,0.017493724476801066,0.03047148221558734
2028,Dx_POC_ITT,AvtMor,0.04294444971512343,0.034440500267052344,0.0529322015075394
2028,Dx_TSwab,AvtInc,5.632836526991353e-4,0.00043621421307401056,7.746803353978471e-4
2028,Dx_TSwab,AvtMor,0.0011576733784700425,9.376194632636625e-4,0.001404875664386834
2028,Dx_TSwab_ITT,AvtInc,0.020601525537676746,0.01589491325520804,0.027701848062787006
2028,Dx_TSwab_ITT,AvtMor,0.039131621512475456,0.03144835686576917,0.0482128092704424
2028,Mass_NAAT_20_HRZE,AvtInc,0,0,0
2028,Mass_NAAT_20_HRZE,AvtMor,0,0,0
2028,Mass_NAAT_20_PAN,AvtInc,4.0423606932847685e-5,3.8197123753978975e-5,4.1758132944975655e-5
2028,Mass_NAAT_20_PAN,AvtMor,1.7121970951511963e-4,1.4679580171255276e-4,2.119736482329901e-4
2028,Mass_Xray_10_HRZE,AvtInc,0,0,0
2028,Mass_Xray_10_HRZE,AvtMor,0,0,0
2028,Mass_Xray_10_PAN,AvtInc,4.0423606932847685e-5,3.8197123753978975e-5,4.1758132944975655e-5
2028,Mass_Xray_10_PAN,AvtMor,1.7121970951511963e-4,1.4679580171255276e-4,2.119736482329901e-4
2028,TxPPM_LA-INJ,AvtInc,-4.3545375958575793e-4,-5.193420687888108e-4,-3.634150925663742e-4
2028,TxPPM_LA-INJ,AvtMor,7.969997690766735e-4,4.6935888758812075e-4,0.0011151199291269068
2028,TxPPM_PAN-TB,AvtInc,-3.943529977599259e-4,-4.7963991766628304e-4,-3.230625838671572e-4
